x,y,z,intensity,color
"[-0.8889302015304565, -0.9393694400787354, -0.8651151657104492, -0.8939518928527832, -0.8679914474487305, -0.8960930705070496, -0.9655320644378662, -0.8797169327735901, -0.9284346699714661, -0.8920735716819763, -0.872725248336792, -0.9035488367080688, -0.9350649118423462, -0.8886382579803467, -0.8797141909599304, -0.9075772166252136]","[-1.917664885520935, -1.853201150894165, -1.849343180656433, -1.814393401145935, -1.8214396238327026, -1.7988569736480713, -1.9139184951782227, -1.9065035581588745, -1.8564679622650146, -1.852009892463684, -1.8656480312347412, -1.8386600017547607, -2.025522232055664, -1.880774736404419, -1.8882744312286377, -1.8616911172866821]","[-0.03689438849687576, -0.03626609966158867, -0.03563781455159187, -0.03530621528625488, -0.03521895781159401, -0.03507933393120766, 0.03741795942187309, 0.03665005415678024, 0.03623119741678238, 0.035882145166397095, 0.03595195710659027, 0.035759977996349335, 0.11691854149103165, 0.1090158075094223, 0.10917282104492188, 0.10854478180408478]","[1.0, 1.0, 1.0, 4.25, 2.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 3.5, 1.0, 17.0, 2.0, 21.799999237060547]",1
"[-0.9268813133239746, -0.8819727301597595, -0.960193932056427, -0.9547434449195862, -0.9059696793556213, -0.86860191822052, -0.859961211681366, -0.9393160343170166, -0.9113248586654663, -0.9602192044258118, -0.8937543630599976, -0.9241958260536194, -0.9154999852180481, -0.944545328617096, -0.9049146175384521]","[2.0366628170013428, 2.0390942096710205, 2.0432913303375244, 2.0502562522888184, 2.046583652496338, 2.0578372478485107, 2.0874574184417725, 2.0677740573883057, 2.067732572555542, 2.089585781097412, 2.0862534046173096, 2.069939136505127, 2.07816219329834, 2.095834732055664, 2.0936760902404785]","[-0.039058487862348557, -0.03877924755215645, -0.03940753638744354, -0.03947734460234642, -0.039067212492227554, -0.03898867219686508, -0.03940753638744354, 0.039643142372369766, 0.03944243863224983, 0.040140535682439804, 0.039616964757442474, 0.11880263686180115, 0.11901196837425232, 0.12047737836837769, 0.11953532695770264]","[41.5, 68.0, 2.0, 15.0, 71.5, 54.0, 12.0, 14.25, 27.5, 2.0, 27.5, 15.0, 24.5, 3.0, 26.0]",2
